source,country,rep,n_train,estimate,error,train_sources
armstrong,USA,56,37,0.1717224904046505,0.03842697140294887,ouhk|tilburgcaf|vuw|ritonline|westernkentucky|simmons|mturk|salford|puc|jos|aus2|uned|seznamon|padua|csunorthonline|bogota|mcdanielonline|carleton|cas|grazvienna|psualtoona|metu|tilburg|hawaiion|lse|munich|tanzaniaon|queensland2|tamu|help|loyola|yale|ulatina|brookcuny|pascal|munichon|kwazulu
armstrong,USA,57,37,0.17422946473718726,0.040933945735485616,puc|badaniaon|csunorthonline|louvain|vuw|ulatina|umich|vcu|hawaiion|pascal|ritonline|padua|jos|jmu|tanzaniaon|rotterdam|northumbria|tilburg|metu|aus2|tamucc|munich|unswonline|simmons|cas|krakowon|mturk|ouhk|kenyon|queensland2|brookcuny|carleton|yale|seznam|kwazulu|swps|tamu
armstrong,USA,58,37,0.17357373200451215,0.04027821300281051,pascal|cas|ulatina|georgefox|munichon|mcdanielonline|mturk|tanzaniaon|swps|jmu|munich|tilburgcaf|vuw|puc|loyola|brookcuny|westernkentucky|fmkbelgrade|metu|tilburg|umich|tamucc|badaniaon|louvain|seznam|seznamon|lse|krakowon|rotterdam|northumbria|bogota|salford|hawaiion|kwazulu|carleton|osnabruck|kenyon
armstrong,USA,59,37,0.18432497451331656,0.05102945551161492,munich|tamu|bogota|vcu|tamucc|yale|krakowon|jmu|northumbria|tanzaniaon|jos|puc|seznamon|cas|unswonline|pascal|simmons|metu|radboud|csunorthonline|aus2|queensland2|ulatina|tilburgcaf|brookcuny|tilburg|georgefox|rotterdam|seznam|mturk|kwazulu|grazvienna|ritonline|ouhk|psualtoona|padua|vuw
armstrong,USA,60,37,0.17705505611653408,0.043759537114832436,mcdanielonline|simmons|salford|unswonline|krakowon|ulatina|northumbria|tilburgcaf|loyola|grazvienna|radboud|louvain|moralsense|tamucc|osnabruck|seznam|jos|brookcuny|kenyon|jmu|cas|csunorthonline|tamu|mturk|bogota|padua|lse|swps|munich|puc|ouhk|seznamon|kwazulu|yale|psualtoona|hawaiion|carleton
armstrong,USA,61,37,0.1595761266043169,0.026280607602615247,krakowon|tilburg|vuw|seznamon|unswonline|help|fmkbelgrade|northumbria|jos|aus2|osnabruck|pascal|puc|csunorthonline|bogota|vcu|rotterdam|metu|lse|ritonline|salford|queensland2|jmu|tamucc|tilburgcaf|tamu|padua|loyola|swps|carleton|ulatina|hawaiion|tanzania|munichon|simmons|badaniaon|mcdanielonline
armstrong,USA,62,37,0.1710063132684078,0.03771079426670615,tanzania|osnabruck|seznamon|loyola|westernkentucky|tamucc|jos|psualtoona|ouhk|yale|krakowon|tilburg|kwazulu|aus2|simmons|munichon|rotterdam|unswonline|salford|hawaiion|northumbria|carleton|uned|fmkbelgrade|seznam|munich|ulatina|georgefox|pascal|jmu|swps|vuw|brookcuny|moralsense|ritonline|queensland2|tilburgcaf
armstrong,USA,63,37,0.1759779174490664,0.04268239844736477,vcu|uned|brookcuny|georgefox|fmkbelgrade|radboud|salford|help|seznamon|metu|westernkentucky|bogota|kenyon|badaniaon|carleton|munichon|louvain|hawaiion|puc|padua|mcdanielonline|queensland2|munich|ulatina|unswonline|tilburgcaf|tilburg|tanzaniaon|pascal|jmu|csunorthonline|umich|northumbria|cas|rotterdam|kwazulu|grazvienna
armstrong,USA,64,37,0.1763242023385766,0.04302868333687496,queensland2|tanzaniaon|hawaiion|tilburg|simmons|georgefox|radboud|ulatina|ritonline|jmu|mcdanielonline|krakowon|moralsense|tanzania|northumbria|puc|munichon|padua|westernkentucky|fmkbelgrade|tamu|seznam|jos|badaniaon|tamucc|vcu|munich|yale|loyola|cas|mturk|louvain|grazvienna|psualtoona|unswonline|csunorthonline|ouhk
armstrong,USA,65,37,0.18120524694883164,0.04790972794713,tanzaniaon|swps|yale|osnabruck|simmons|bogota|georgefox|fmkbelgrade|pascal|salford|lse|ritonline|psualtoona|tamucc|tilburgcaf|carleton|queensland2|aus2|csunorthonline|kwazulu|tilburg|rotterdam|mturk|help|moralsense|vuw|northumbria|louvain|krakowon|hawaiion|radboud|badaniaon|seznam|metu|unswonline|munichon|munich
armstrong,USA,66,37,0.18148803147684714,0.0481925124751455,osnabruck|pascal|tilburgcaf|ouhk|radboud|mcdanielonline|puc|tanzaniaon|moralsense|carleton|simmons|vuw|ritonline|bogota|swps|tilburg|mturk|psualtoona|help|grazvienna|tanzania|louvain|lse|brookcuny|kenyon|seznam|ulatina|jos|queensland2|munich|georgefox|seznamon|jmu|northumbria|padua|krakowon|westernkentucky
armstrong,USA,67,37,0.16554610915250711,0.032250590150805475,aus2|bogota|munichon|radboud|moralsense|seznam|help|tamu|krakowon|umich|salford|kwazulu|yale|munich|tanzaniaon|vuw|tilburgcaf|ouhk|padua|brookcuny|lse|osnabruck|carleton|simmons|tamucc|kenyon|loyola|pascal|tanzania|grazvienna|tilburg|ritonline|csunorthonline|georgefox|louvain|queensland2|ulatina
