surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,rinf,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.222997265596,0.954399104024,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.156254293552,0.863840296143,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,0,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,1,200,0.0150963103848,0,200,1,0,1,96,0.0150963103848,0.244579823703,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,2,200,0.0145325409799,0,200,1,0,1,192,0.0145325409799,0.244091579248,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,3,200,0.014407652035,0,200,1,0,1,288,0.014407652035,0.240350893493,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,0,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,1,200,0.0150963103848,0,200,1,0,1,96,0.0150963103848,0.244579823703,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,2,200,0.0145325409799,0,200,1,0,1,192,0.0145325409799,0.244091579248,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,3,200,0.014407652035,0,200,1,0,1,288,0.014407652035,0.240350893493,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,0,200,0.0576754218551,0,200,1,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,1,200,0.024412554672,0,1,0.005,0,1,96,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,2,200,0.024412554672,0,1,0.005,0,1,192,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,3,200,0.024412554672,0,1,0.005,0,1,288,0.0785830477319,0.841284209564,1
linear,supported,nearest,r2,optimized__barycentric,0.2,0,200,0.0151247385291,0,200,1,0,1,0,0.0151247385291,0.222481303551,1
linear,supported,nearest,r2,optimized__barycentric,0.2,1,200,0.0153306183242,0,200,1,0,1,96,0.0153306183242,0.220614710134,1
linear,supported,nearest,r2,optimized__barycentric,0.2,2,200,0.015063455065,0,200,1,0,1,192,0.015063455065,0.218755590304,1
linear,supported,nearest,r2,optimized__barycentric,0.2,3,200,0.0146631915246,0,200,1,0,1,288,0.0146631915246,0.216811539477,1
linear,supported,nearest,r2,optimized__barycentric,0.3,0,200,0.0151247385291,0,200,1,0,1,0,0.0151247385291,0.222481303551,1
linear,supported,nearest,r2,optimized__barycentric,0.3,1,200,0.0153306183242,0,200,1,0,1,96,0.0153306183242,0.220614710134,1
linear,supported,nearest,r2,optimized__barycentric,0.3,2,200,0.015063455065,0,200,1,0,1,192,0.015063455065,0.218755590304,1
linear,supported,nearest,r2,optimized__barycentric,0.3,3,200,0.0146631915246,0,200,1,0,1,288,0.0146631915246,0.216811539477,1
