surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,rinf,optimized__minimum,0.3,2,200,0.0409910848973,0,160,0.8,0,1,140.64,0.0459308570906,0.545599695748,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,3,200,0.0403134787037,0,187,0.935,0,1,159.84,0.0416367696709,0.544096054217,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.313480997969,0.606929952634,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.222997265596,0.518861844407,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.156254293552,0.487066871145,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.313480997969,0.606929952634,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.222997265596,0.518861844407,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.156254293552,0.487066871145,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,0,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,1,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,2,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.2,3,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,0,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,1,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,2,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,inverse_variance__minimum,0.3,3,200,0.0148917746238,0,200,1,0,1,0,0.0148917746238,0.246902605026,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.0576754218551,0.400122971708,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0785830477319,0.399860283919,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0785830477319,0.399826033563,1
linear,supported,nearest,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0785830477319,0.399826033563,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,0,200,0.0576754218551,0,200,1,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,1,200,0.0576754218551,0,200,1,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,2,200,0.0576754218551,0,200,1,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,nearest_source__minimum,0.3,3,200,0.0576754218551,0,200,1,0,1,0,0.0576754218551,0.50872669862,1
linear,supported,nearest,r2,optimized__barycentric,0.2,0,200,0.0151247385291,0,200,1,0,1,0,0.0151247385291,0.222481303551,1
linear,supported,nearest,r2,optimized__barycentric,0.2,1,200,0.0151247385291,0,200,1,0,1,0,0.0151247385291,0.222481303551,1
