scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,new_n,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,error,-0.317546430267,-0.320681463372,-0.314319896725,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,width,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,released,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,new_n,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,error,-0.0865562612001,-0.0953937256164,-0.0776325527761,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,nearest_source__minimum,width,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,released,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,new_n,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,error,-0.134342546673,-0.145022364037,-0.12380716158,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,optimized__lipschitz,width,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,released,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,new_n,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,error,-0.096371684561,-0.101777822659,-0.0911841085181,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,uniform__minimum,width,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,released,0.318333333333,0.305,0.33,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,random,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
