scenario,replicate,method,truth,estimate,error,radius,width,covered,joint_set_covered,weights,outer_status,outer_lower,outer_upper,outer_covered,assumption_valid,solver_successes,solver_failures,global_optimum_certified,fallback
extrapolation,2,ridge_source_only,0.84075,0.139994227387,0.700755772613,,,,True,,nonempty,-2.17514733323,1.93219970127,True,True,,,,
extrapolation,2,archive_mean,0.84075,-0.198775681765,1.03952568177,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-2.17514733323,1.93219970127,True,True,,,,
proxy_shift,2,robust_Rinf,-0.105384928681,0.0172565101063,0.122641438788,0.597813251983,1.19562650397,True,False,"[0.2217617108940644, 1.894482327583691e-18, 0.7782382891059354, 2.0694382525472052e-16]",nonempty,-0.605623666868,0.520851910593,True,False,3,0,False,False
proxy_shift,2,design_R2,-0.105384928681,0.0172565101063,0.122641438788,0.542013386424,1.08402677285,True,False,"[0.2217617108940644, 1.894482327583691e-18, 0.7782382891059354, 2.0694382525472052e-16]",nonempty,-0.605623666868,0.520851910593,True,False,3,0,False,False
proxy_shift,2,adaptive_Rinf,-0.105384928681,-0.292212116997,0.186827188315,0.943955040159,1.88791008032,True,False,"[0.6659337700987283, 0.24100297791590905, 4.3106264450369504e-05, 0.0930201457209123]",nonempty,-0.605623666868,0.520851910593,True,False,,,,
proxy_shift,2,adaptive_R2_invalid,-0.105384928681,-0.292212116997,0.186827188315,0.869488817812,1.73897763562,True,False,"[0.6659337700987283, 0.24100297791590905, 4.3106264450369504e-05, 0.0930201457209123]",nonempty,-0.605623666868,0.520851910593,True,False,,,,
proxy_shift,2,singleton_U,-0.105384928681,0.017256510106,0.122641438787,0.233059274883,0.466118549765,True,False,"[0.2217617108947893, 4.258652411835099e-17, 0.7782382891052105, 4.753504108531916e-18]",nonempty,-0.605623666868,0.520851910593,True,False,3,0,False,False
proxy_shift,2,no_curvature,-0.105384928681,0.0172565059454,0.122641434627,0.591369896267,1.18273979253,True,False,"[0.22176172107543343, 1.9473407299369066e-17, 0.7782382789245667, 0.0]",nonempty,-0.605623666868,0.520851910593,True,False,3,0,False,False
proxy_shift,2,ridge_source_only,-0.105384928681,-0.0551900190062,0.0501949096752,,,,False,,nonempty,-0.605623666868,0.520851910593,True,False,,,,
proxy_shift,2,archive_mean,-0.105384928681,-0.183697970063,0.0783130413817,,,,False,"[0.25, 0.25, 0.25, 0.25]",nonempty,-0.605623666868,0.520851910593,True,False,,,,
