method,threshold,n_released,release_rate,reference_mae,reference_inclusion,mean_width
random,0.435,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.44,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.445,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.45,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.455,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.46,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.465,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.47,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.475,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.48,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.485,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.49,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.495,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.5,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
