k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,66,2,gaussian_union,2.57582930355,True,1
4,67,1,joint_max,2.72885410545,False,0.8
4,67,1,marginal_only_invalid,2.32037821109,False,0.8
4,67,1,gaussian_union,2.57582930355,False,0.8
4,67,2,joint_max,2.72885410545,False,0.8
4,67,2,marginal_only_invalid,2.32037821109,False,0.8
4,67,2,gaussian_union,2.57582930355,False,0.8
4,68,1,joint_max,2.56896438557,True,1
4,68,1,marginal_only_invalid,2.35382592381,True,1
4,68,1,gaussian_union,2.57582930355,True,1
4,68,2,joint_max,2.56896438557,True,1
4,68,2,marginal_only_invalid,2.35382592381,True,1
4,68,2,gaussian_union,2.57582930355,True,1
4,69,1,joint_max,2.63113903602,True,1
4,69,1,marginal_only_invalid,1.89935254648,True,1
4,69,1,gaussian_union,2.57582930355,True,1
4,69,2,joint_max,2.63113903602,False,0.6
4,69,2,marginal_only_invalid,1.89935254648,False,0.6
4,69,2,gaussian_union,2.57582930355,False,0.6
4,70,1,joint_max,2.67236786815,True,1
4,70,1,marginal_only_invalid,1.59092335768,True,1
4,70,1,gaussian_union,2.57582930355,True,1
4,70,2,joint_max,2.67236786815,True,1
4,70,2,marginal_only_invalid,1.59092335768,False,0.6
4,70,2,gaussian_union,2.57582930355,True,1
4,71,1,joint_max,2.61179714223,True,1
4,71,1,marginal_only_invalid,1.8988524015,True,1
4,71,1,gaussian_union,2.57582930355,True,1
4,71,2,joint_max,2.61179714223,False,0.8
4,71,2,marginal_only_invalid,1.8988524015,False,0.6
4,71,2,gaussian_union,2.57582930355,False,0.8
4,72,1,joint_max,2.65830474624,True,1
4,72,1,marginal_only_invalid,2.02842559166,True,1
4,72,1,gaussian_union,2.57582930355,True,1
4,72,2,joint_max,2.65830474624,True,1
4,72,2,marginal_only_invalid,2.02842559166,False,0.8
4,72,2,gaussian_union,2.57582930355,True,1
4,73,1,joint_max,2.47566028658,True,1
4,73,1,marginal_only_invalid,2.06245407249,True,1
4,73,1,gaussian_union,2.57582930355,True,1
4,73,2,joint_max,2.47566028658,False,0.6
4,73,2,marginal_only_invalid,2.06245407249,False,0.6
4,73,2,gaussian_union,2.57582930355,False,0.8
4,74,1,joint_max,2.59360014501,True,1
4,74,1,marginal_only_invalid,2.1878413908,True,1
4,74,1,gaussian_union,2.57582930355,True,1
4,74,2,joint_max,2.59360014501,True,1
4,74,2,marginal_only_invalid,2.1878413908,False,0.8
4,74,2,gaussian_union,2.57582930355,True,1
4,75,1,joint_max,2.52334571533,True,1
4,75,1,marginal_only_invalid,2.09086745592,True,1
4,75,1,gaussian_union,2.57582930355,True,1
4,75,2,joint_max,2.52334571533,False,0.4
4,75,2,marginal_only_invalid,2.09086745592,False,0.4
4,75,2,gaussian_union,2.57582930355,False,0.6
4,76,1,joint_max,2.44469358262,True,1
4,76,1,marginal_only_invalid,1.95889181786,True,1
4,76,1,gaussian_union,2.57582930355,True,1
4,76,2,joint_max,2.44469358262,True,1
4,76,2,marginal_only_invalid,1.95889181786,True,1
4,76,2,gaussian_union,2.57582930355,True,1
4,77,1,joint_max,2.84138539616,True,1
4,77,1,marginal_only_invalid,1.96546078731,True,1
4,77,1,gaussian_union,2.57582930355,True,1
4,77,2,joint_max,2.84138539616,False,0.8
4,77,2,marginal_only_invalid,1.96546078731,False,0.6
4,77,2,gaussian_union,2.57582930355,False,0.8
4,78,1,joint_max,2.54666027437,True,1
4,78,1,marginal_only_invalid,1.98751268086,True,1
4,78,1,gaussian_union,2.57582930355,True,1
4,78,2,joint_max,2.54666027437,False,0.8
4,78,2,marginal_only_invalid,1.98751268086,False,0.8
4,78,2,gaussian_union,2.57582930355,False,0.8
4,79,1,joint_max,2.66857205613,True,1
4,79,1,marginal_only_invalid,1.96265969734,True,1
4,79,1,gaussian_union,2.57582930355,True,1
4,79,2,joint_max,2.66857205613,True,1
4,79,2,marginal_only_invalid,1.96265969734,False,0.8
4,79,2,gaussian_union,2.57582930355,True,1
4,80,1,joint_max,2.73771808526,True,1
4,80,1,marginal_only_invalid,1.74938628749,False,0.8
4,80,1,gaussian_union,2.57582930355,True,1
4,80,2,joint_max,2.73771808526,False,0.6
4,80,2,marginal_only_invalid,1.74938628749,False,0.4
4,80,2,gaussian_union,2.57582930355,False,0.6
4,81,1,joint_max,2.5066571669,True,1
4,81,1,marginal_only_invalid,1.89623158895,True,1
4,81,1,gaussian_union,2.57582930355,True,1
4,81,2,joint_max,2.5066571669,True,1
4,81,2,marginal_only_invalid,1.89623158895,False,0.6
4,81,2,gaussian_union,2.57582930355,True,1
4,82,1,joint_max,2.73798562782,True,1
4,82,1,marginal_only_invalid,1.9044984837,True,1
4,82,1,gaussian_union,2.57582930355,True,1
4,82,2,joint_max,2.73798562782,False,0.8
4,82,2,marginal_only_invalid,1.9044984837,False,0.8
4,82,2,gaussian_union,2.57582930355,False,0.8
4,83,1,joint_max,2.68583965941,True,1
4,83,1,marginal_only_invalid,1.97574815029,True,1
4,83,1,gaussian_union,2.57582930355,True,1
4,83,2,joint_max,2.68583965941,True,1
4,83,2,marginal_only_invalid,1.97574815029,True,1
4,83,2,gaussian_union,2.57582930355,True,1
4,84,1,joint_max,2.54443248954,True,1
4,84,1,marginal_only_invalid,1.82060245228,True,1
4,84,1,gaussian_union,2.57582930355,True,1
4,84,2,joint_max,2.54443248954,False,0.8
4,84,2,marginal_only_invalid,1.82060245228,False,0.8
4,84,2,gaussian_union,2.57582930355,False,0.8
4,85,1,joint_max,2.64159914059,True,1
4,85,1,marginal_only_invalid,2.15235147729,True,1
4,85,1,gaussian_union,2.57582930355,True,1
4,85,2,joint_max,2.64159914059,True,1
4,85,2,marginal_only_invalid,2.15235147729,True,1
4,85,2,gaussian_union,2.57582930355,True,1
4,86,1,joint_max,2.62355067001,True,1
4,86,1,marginal_only_invalid,1.92045615821,True,1
4,86,1,gaussian_union,2.57582930355,True,1
4,86,2,joint_max,2.62355067001,True,1
4,86,2,marginal_only_invalid,1.92045615821,False,0.8
4,86,2,gaussian_union,2.57582930355,True,1
4,87,1,joint_max,2.61887260543,True,1
4,87,1,marginal_only_invalid,1.93655704493,True,1
4,87,1,gaussian_union,2.57582930355,True,1
4,87,2,joint_max,2.61887260543,False,0.8
4,87,2,marginal_only_invalid,1.93655704493,False,0.4
4,87,2,gaussian_union,2.57582930355,False,0.8
4,88,1,joint_max,2.57163059033,True,1
4,88,1,marginal_only_invalid,2.2535102939,True,1
4,88,1,gaussian_union,2.57582930355,True,1
4,88,2,joint_max,2.57163059033,True,1
