surface,scenario,replicate,method,stage,candidate,planned_radius,solver_failures
linear,bridgeable,11,r2_targeted,3,4,0.159510224306699,0
linear,bridgeable,11,r2_targeted,3,5,0.1561373224407,0
linear,bridgeable,11,r2_targeted,3,6,0.153418263045584,0
linear,bridgeable,11,r2_targeted,3,7,0.148750721711653,0
linear,bridgeable,11,rinf_targeted,1,4,0.566722801679711,0
linear,bridgeable,11,rinf_targeted,1,5,0.404787774937103,0
linear,bridgeable,11,rinf_targeted,1,6,0.34743488012949,0
linear,bridgeable,11,rinf_targeted,1,7,0.294167134620273,0
linear,bridgeable,11,rinf_targeted,1,8,0.272271300298184,0
linear,bridgeable,11,rinf_targeted,1,9,0.264317225404491,0
linear,bridgeable,11,rinf_targeted,2,4,0.26431720521978,0
linear,bridgeable,11,rinf_targeted,2,5,0.264317207374375,0
linear,bridgeable,11,rinf_targeted,2,6,0.26431720965271,0
linear,bridgeable,11,rinf_targeted,2,7,0.264317206637892,0
linear,bridgeable,11,rinf_targeted,2,8,0.26431721102936,0
linear,bridgeable,11,rinf_targeted,3,5,0.26431720521978,0
linear,bridgeable,11,rinf_targeted,3,6,0.26431720521978,0
linear,bridgeable,11,rinf_targeted,3,7,0.26431720521978,0
linear,bridgeable,11,rinf_targeted,3,8,0.26431720521978,0
linear,bridgeable,12,r2_targeted,1,4,0.50085303756595,0
linear,bridgeable,12,r2_targeted,1,5,0.381135330363161,0
linear,bridgeable,12,r2_targeted,1,6,0.294394819077206,0
linear,bridgeable,12,r2_targeted,1,7,0.240877740815327,0
linear,bridgeable,12,r2_targeted,1,8,0.208831671184976,0
linear,bridgeable,12,r2_targeted,1,9,0.195808384748763,0
linear,bridgeable,12,r2_targeted,2,4,0.190615952823526,0
linear,bridgeable,12,r2_targeted,2,5,0.183296403611918,0
linear,bridgeable,12,r2_targeted,2,6,0.176760934528664,0
linear,bridgeable,12,r2_targeted,2,7,0.16927471668475,0
linear,bridgeable,12,r2_targeted,2,8,0.161796043714779,0
linear,bridgeable,12,r2_targeted,3,4,0.159143163124443,0
linear,bridgeable,12,r2_targeted,3,5,0.155855226553845,0
linear,bridgeable,12,r2_targeted,3,6,0.152961213876753,0
linear,bridgeable,12,r2_targeted,3,7,0.149312483861931,0
linear,bridgeable,12,rinf_targeted,1,4,0.558898525680939,0
linear,bridgeable,12,rinf_targeted,1,5,0.403169093694174,0
linear,bridgeable,12,rinf_targeted,1,6,0.334238536610378,0
linear,bridgeable,12,rinf_targeted,1,7,0.296606607869042,0
linear,bridgeable,12,rinf_targeted,1,8,0.2726842527647,0
linear,bridgeable,12,rinf_targeted,1,9,0.262100101059006,0
linear,bridgeable,12,rinf_targeted,2,4,0.262100100480668,0
linear,bridgeable,12,rinf_targeted,2,5,0.262100101059006,0
linear,bridgeable,12,rinf_targeted,2,6,0.262100101059006,0
linear,bridgeable,12,rinf_targeted,2,7,0.262100100168676,0
linear,bridgeable,12,rinf_targeted,2,8,0.262100098647021,0
linear,bridgeable,12,rinf_targeted,3,4,0.262100097098864,0
linear,bridgeable,12,rinf_targeted,3,5,0.262100098647021,0
linear,bridgeable,12,rinf_targeted,3,6,0.262100097371955,0
linear,bridgeable,12,rinf_targeted,3,7,0.262100098647021,0
linear,bridgeable,13,r2_targeted,1,4,0.521612760933062,0
linear,bridgeable,13,r2_targeted,1,5,0.427267589058233,0
linear,bridgeable,13,r2_targeted,1,6,0.307248850377784,0
linear,bridgeable,13,r2_targeted,1,7,0.244999362829336,0
linear,bridgeable,13,r2_targeted,1,8,0.216614517362152,0
linear,bridgeable,13,r2_targeted,1,9,0.201257236601744,0
linear,bridgeable,13,r2_targeted,2,4,0.196263360464663,0
linear,bridgeable,13,r2_targeted,2,5,0.189598005663859,0
linear,bridgeable,13,r2_targeted,2,6,0.181452574793253,0
linear,bridgeable,13,r2_targeted,2,7,0.17281774320263,0
linear,bridgeable,13,r2_targeted,2,8,0.166297237525775,0
linear,bridgeable,13,r2_targeted,3,4,0.163600381884556,0
linear,bridgeable,13,r2_targeted,3,5,0.16076629648714,0
linear,bridgeable,13,r2_targeted,3,6,0.157041888367157,0
linear,bridgeable,13,r2_targeted,3,7,0.152619928733705,0
linear,bridgeable,13,rinf_targeted,1,4,0.578618692370307,0
linear,bridgeable,13,rinf_targeted,1,5,0.434595377645331,0
linear,bridgeable,13,rinf_targeted,1,6,0.342325049594684,0
linear,bridgeable,13,rinf_targeted,1,7,0.299616293273495,0
linear,bridgeable,13,rinf_targeted,1,8,0.278969823943668,0
linear,bridgeable,13,rinf_targeted,1,9,0.266910412872138,0
linear,bridgeable,13,rinf_targeted,2,4,0.266910412872138,0
linear,bridgeable,13,rinf_targeted,2,5,0.266910412872138,0
linear,bridgeable,13,rinf_targeted,2,6,0.266910412872138,0
linear,bridgeable,13,rinf_targeted,2,7,0.266910411765561,0
linear,bridgeable,13,rinf_targeted,2,8,0.266910408714888,0
linear,bridgeable,13,rinf_targeted,3,4,0.266910408714888,0
linear,bridgeable,13,rinf_targeted,3,5,0.266910408714888,0
linear,bridgeable,13,rinf_targeted,3,6,0.266910408714888,0
linear,bridgeable,13,rinf_targeted,3,7,0.266910408714888,0
linear,bridgeable,14,r2_targeted,1,4,0.477970408058762,0
linear,bridgeable,14,r2_targeted,1,5,0.425944150593398,0
linear,bridgeable,14,r2_targeted,1,6,0.288527799175482,0
linear,bridgeable,14,r2_targeted,1,7,0.232319112086605,0
linear,bridgeable,14,r2_targeted,1,8,0.204107845024635,0
