scenario,method,tolerance,budget,n_worlds,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,new_n,new_n_lower,new_n_upper,released_mae,released_bad_rate,mean_output_width,mean_refusal_width,mean_certificate_radius,n_released
unreachable,r2_targeted,0.3,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.47998346796,2.47998346796,1.25140999837,0
unreachable,r2_targeted,0.3,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4767862555,2.4767862555,1.23274229066,0
unreachable,rinf_targeted,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.87262093855,2.87262093855,1.45345418347,0
unreachable,rinf_targeted,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.46063705657,2.46063705657,1.31337388036,0
unreachable,rinf_targeted,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.45936165835,2.45936165835,1.31337388036,0
unreachable,rinf_targeted,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4577300739,2.4577300739,1.31337388036,0
unreachable,rinf_targeted,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.87262093855,2.87262093855,1.45345418347,0
unreachable,rinf_targeted,0.3,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.46063705657,2.46063705657,1.31337388036,0
unreachable,rinf_targeted,0.3,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.45936165835,2.45936165835,1.31337388036,0
unreachable,rinf_targeted,0.3,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4577300739,2.4577300739,1.31337388036,0
unreachable,target_only,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
unreachable,target_only,0.2,1,600,0,0,0,0,0,0,0.998333333333,0.995,1,96,96,96,,,0.584119320161,0.584119320161,0.29205966008,0
unreachable,target_only,0.2,2,600,0,0,0,0,0,0,0.995,0.988333333333,1,192,192,192,,,0.413034732308,0.413034732308,0.206517366154,0
unreachable,target_only,0.2,3,600,1,1,1,0,0,0,0.995,0.988333333333,1,288,288,288,0.044663230891,0,0.337241446734,,0.168620723367,600
unreachable,target_only,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
unreachable,target_only,0.3,1,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0793088107401,0.00166666666667,0.584119320161,,0.29205966008,600
unreachable,target_only,0.3,2,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0793088107401,0.00166666666667,0.584119320161,,0.29205966008,600
unreachable,target_only,0.3,3,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0793088107401,0.00166666666667,0.584119320161,,0.29205966008,600
