surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,7,target_only,0.2,1,10,96,0.0404288612279482,0.011736248062756,0.0286926131651922,0.102062072615966,1
linear,bridgeable,7,target_only,0.2,2,10,96,-0.116112480213213,0.0113522654664191,-0.127464745679632,0.102062072615966,2
linear,bridgeable,7,target_only,0.2,3,10,96,-0.0474751620105,-0.0112509467597136,-0.0362242152507864,0.102062072615966,3
linear,bridgeable,7,target_only,0.3,1,10,96,0.0404288612279482,0.011736248062756,0.0286926131651922,0.102062072615966,1
linear,bridgeable,8,r2_nearest,0.2,1,5,96,-0.0512584154529879,0.071659122804071,-0.122917538257059,0.102062072615966,
linear,bridgeable,8,r2_nearest,0.2,2,4,96,-0.017988806317798,-0.0535713461398602,0.0355825398220622,0.102062072615966,
linear,bridgeable,8,r2_nearest,0.2,3,6,96,0.148764377980772,0.0327516895211475,0.116012688459624,0.102062072615966,
linear,bridgeable,8,r2_nearest,0.3,1,5,96,-0.0512584154529879,0.071659122804071,-0.122917538257059,0.102062072615966,
linear,bridgeable,8,r2_nearest,0.3,2,4,96,-0.017988806317798,-0.0535713461398602,0.0355825398220622,0.102062072615966,
linear,bridgeable,8,r2_nearest,0.3,3,6,96,0.148764377980772,0.0327516895211475,0.116012688459624,0.102062072615966,
linear,bridgeable,8,r2_random,0.2,1,8,96,0.427168747665179,-0.0142442224670226,0.441412970132201,0.102062072615966,
linear,bridgeable,8,r2_random,0.2,2,7,96,0.269657966584753,-0.0815793741364527,0.351237340721206,0.102062072615966,
linear,bridgeable,8,r2_random,0.3,1,8,96,0.427168747665179,-0.0142442224670226,0.441412970132201,0.102062072615966,
linear,bridgeable,8,r2_targeted,0.2,1,9,96,0.611998054887715,-0.0705665774059806,0.682564632293695,0.102062072615966,
linear,bridgeable,8,r2_targeted,0.3,1,9,96,0.611998054887715,-0.0705665774059806,0.682564632293695,0.102062072615966,
linear,bridgeable,8,rinf_targeted,0.2,1,9,96,0.611998054887715,-0.0705665774059806,0.682564632293695,0.102062072615966,
linear,bridgeable,8,rinf_targeted,0.2,2,8,96,0.427168747665179,-0.0142442224670226,0.441412970132201,0.102062072615966,
linear,bridgeable,8,rinf_targeted,0.2,3,5,96,-0.0512584154529879,0.071659122804071,-0.122917538257059,0.102062072615966,
linear,bridgeable,8,rinf_targeted,0.3,1,9,96,0.611998054887715,-0.0705665774059806,0.682564632293695,0.102062072615966,
linear,bridgeable,8,target_only,0.2,1,10,96,0.0487648844087882,-0.013494944271583,0.0622598286803711,0.102062072615966,1
linear,bridgeable,8,target_only,0.2,2,10,96,0.195348039632727,-0.0896342066469126,0.28498224627964,0.102062072615966,2
linear,bridgeable,8,target_only,0.2,3,10,96,-0.0185204606457957,0.0478052461709004,-0.0663257068166961,0.102062072615966,3
linear,bridgeable,8,target_only,0.3,1,10,96,0.0487648844087882,-0.013494944271583,0.0622598286803711,0.102062072615966,1
linear,bridgeable,9,r2_nearest,0.2,1,5,96,0.037941515951855,-0.111594167197478,0.149535683149333,0.102062072615966,
linear,bridgeable,9,r2_nearest,0.2,2,6,96,0.112208902806607,0.0412278379776765,0.0709810648289309,0.102062072615966,
linear,bridgeable,9,r2_nearest,0.2,3,4,96,-0.130529124410254,0.0201835348767413,-0.150712659286995,0.102062072615966,
linear,bridgeable,9,r2_nearest,0.3,1,5,96,0.037941515951855,-0.111594167197478,0.149535683149333,0.102062072615966,
linear,bridgeable,9,r2_nearest,0.3,2,6,96,0.112208902806607,0.0412278379776765,0.0709810648289309,0.102062072615966,
linear,bridgeable,9,r2_random,0.2,1,4,96,-0.130529124410254,0.0201835348767413,-0.150712659286995,0.102062072615966,
linear,bridgeable,9,r2_random,0.2,2,6,96,0.112208902806607,0.0412278379776765,0.0709810648289309,0.102062072615966,
linear,bridgeable,9,r2_random,0.2,3,8,96,0.618261185374818,0.112642990929371,0.505618194445447,0.102062072615966,
linear,bridgeable,9,r2_random,0.3,1,4,96,-0.130529124410254,0.0201835348767413,-0.150712659286995,0.102062072615966,
linear,bridgeable,9,r2_random,0.3,2,6,96,0.112208902806607,0.0412278379776765,0.0709810648289309,0.102062072615966,
linear,bridgeable,9,r2_targeted,0.2,1,9,96,0.589045598904066,0.198671650443976,0.39037394846009,0.102062072615966,
linear,bridgeable,9,r2_targeted,0.3,1,9,96,0.589045598904066,0.198671650443976,0.39037394846009,0.102062072615966,
linear,bridgeable,9,rinf_targeted,0.2,1,9,96,0.589045598904066,0.198671650443976,0.39037394846009,0.102062072615966,
linear,bridgeable,9,rinf_targeted,0.2,2,7,96,0.222308373525689,-0.0369894654320948,0.259297838957784,0.102062072615966,
linear,bridgeable,9,rinf_targeted,0.2,3,6,96,0.112208902806607,0.0412278379776765,0.0709810648289309,0.102062072615966,
linear,bridgeable,9,rinf_targeted,0.3,1,9,96,0.589045598904066,0.198671650443976,0.39037394846009,0.102062072615966,
linear,bridgeable,9,target_only,0.2,1,10,96,0.0268879509053433,-0.0159505440784865,0.0428384949838298,0.102062072615966,1
linear,bridgeable,9,target_only,0.2,2,10,96,0.0178602684037448,0.119099643506148,-0.101239375102403,0.102062072615966,2
linear,bridgeable,9,target_only,0.2,3,10,96,0.154230168674423,-0.0312742376831673,0.18550440635759,0.102062072615966,3
linear,bridgeable,9,target_only,0.3,1,10,96,0.0268879509053433,-0.0159505440784865,0.0428384949838298,0.102062072615966,1
linear,bridgeable,10,r2_nearest,0.2,1,5,96,0.0788345794988616,-0.178657366240796,0.257491945739658,0.102062072615966,
linear,bridgeable,10,r2_nearest,0.2,2,4,96,-0.276226288904112,-0.0428277748323146,-0.233398514071797,0.102062072615966,
linear,bridgeable,10,r2_nearest,0.2,3,6,96,0.127513640343062,0.0286931573766195,0.098820482966443,0.102062072615966,
linear,bridgeable,10,r2_nearest,0.3,1,5,96,0.0788345794988616,-0.178657366240796,0.257491945739658,0.102062072615966,
linear,bridgeable,10,r2_nearest,0.3,2,4,96,-0.276226288904112,-0.0428277748323146,-0.233398514071797,0.102062072615966,
linear,bridgeable,10,r2_nearest,0.3,3,6,96,0.127513640343062,0.0286931573766195,0.098820482966443,0.102062072615966,
linear,bridgeable,10,r2_random,0.2,1,5,96,0.0788345794988616,-0.178657366240796,0.257491945739658,0.102062072615966,
