surface,scenario,tolerance,scope,comparator,metric,targeted_minus_comparator,lower,upper,n_pairs
ALL,unreachable,0.3,pooled,r2_random,released,0,0,0,600
ALL,unreachable,0.3,pooled,r2_random,new_n,0,0,0,600
ALL,unreachable,0.3,pooled,r2_random,bad_release,0,0,0,600
ALL,unreachable,0.3,pooled,r2_nearest,released,0,0,0,600
ALL,unreachable,0.3,pooled,r2_nearest,new_n,0,0,0,600
ALL,unreachable,0.3,pooled,r2_nearest,bad_release,0,0,0,600
ALL,unreachable,0.3,pooled,r2_static,released,0,0,0,600
ALL,unreachable,0.3,pooled,r2_static,new_n,288,288,288,600
ALL,unreachable,0.3,pooled,r2_static,bad_release,0,0,0,600
ALL,unreachable,0.3,pooled,target_only,released,-1,-1,-1,600
ALL,unreachable,0.3,pooled,target_only,new_n,192,192,192,600
ALL,unreachable,0.3,pooled,target_only,bad_release,-0.00166666666667,-0.005,0,600
